product_name,product_color,memory_size_in_gb,ratings,ram_size_in_gb,rom_size_in_gb,product_size_in_inches,front_cam_mp,battery_size_mAh,price_in_rupees
Realme 6 ,Comet White,64,4.4,6,64,6.5,16,4300,"₹15,999"
Realme X3 ,Glacier Blue,128,4.3,8,128, , ,4200,"₹25,999"
Micromax X746, , ,4,32,32, , ,3000,"₹1,199"
Apple iPhone SE ,Red,128,4.5,128, , , ,,"₹47,800"
Snexian Rock, , ,3.9,32,32, , ,1000,"₹1,270"
Micromax X756, , ,4,32,32, , ,3000,"₹1,499"
Lava A7, , ,4.2,32,24,2.4, ,1750,"₹1,599"
Kechaoda K10, , ,4,32,32, , ,300,₹985
Samsung Galaxy J2 Core ,Gold,16,4.2,1,16,5,5,,"₹6,999"
Kechaoda K66 Plus, , ,4.1,32,64,1.8, ,400,₹999
Redmi K20 Pro ,Flame Red,128,4.5,6,128, , ,4000,"₹24,999"
Nokia 3.2 ,Black,32,4.1,3,32, , ,4000,"₹10,003"
Kechaoda K66 Plus, , ,4.1,32,64,1.8, ,400,₹999
Micromax X744, , ,3.9,32,32, , ,2200,"₹1,280"
Samsung Galaxy J2 Core ,Black,16,4.2,1,16,5,5,,"₹6,299"
Apple iPhone 11 ,Purple,128,4.7,128, , , ,A13,"₹73,600"
Samsung Galaxy A51 ,Prism Crush Blue,128,4.5,8,128,6.4,32,4000,"₹27,999"
Kechaoda A26, , ,4.1,32,32,0.66, , ,₹999
Realme X3 SuperZoom ,Glacier Blue,128,4.4,8,128, , ,4200,"₹27,999"
Realme XT ,Pearl Blue,64,4.5,4,64,6.4,16,,"₹16,999"
OPPO A5 2020 ,Mirror Black,64,4.4,4,64, , ,5000,"₹15,990"
Samsung Galaxy M11 ,Metallic Blue,64,4.2,4,64,6.4,8,5000,"₹14,479"
Samsung Galaxy A31 ,Prism Crush Black,128,4.4,6,128,6.4,20,5000,"₹20,999"
Redmi Note 8 Pro ,Shadow Black,64,4.4,6,64,6.53,20,4500,"₹15,999"
Panasonic Eluga I8 ,Charcoal Black,32,3.9,3,32,6.22,8,,"₹8,861"
Micromax X388, , ,3.9,32,32, , ,2500,"₹1,145"
Apple iPhone 11 ,Black,128,4.7,128, , , ,A13,"₹73,600"
OPPO A52 ,Twilight Black,128,4.3,6,128,6.5,16,5000,"₹16,990"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
OnePlus 7T ,Glacier Blue,128,4.6,8,128, , ,3800,"₹36,525"
Motorola One Fusion+ ,Moonlight White,128,4.5,6,128,6.5,16,5000,"₹17,499"
Realme 6 ,Comet Blue,64,4.4,6,64,6.5,16,4300,"₹15,999"
Realme 6 ,Comet White,64,4.4,6,64,6.5,16,4300,"₹15,999"
Micromax X746, , ,4,32,32, , ,3000,"₹1,199"
Karbonn KX3, , ,3.9,32,32,1.8, ,800,₹799
Realme X3 ,Glacier Blue,128,4.3,8,128, , ,4200,"₹25,999"
Apple iPhone SE ,Red,128,4.5,128, , , ,,"₹47,800"
Micromax X744, , ,3.9,32,32, , ,2200,"₹1,280"
Micromax X756, , ,4,32,32, , ,3000,"₹1,499"
Snexian Rock, , ,3.9,32,32, , ,1000,"₹1,270"
Samsung Galaxy J2 Core ,Black,16,4.2,1,16,5,5,,"₹6,299"
POCO M2 Pro ,Green and Greener,64, ,6,64,6.67,16,5000,"₹14,999"
POCO M2 Pro ,Two Shades of Black,64, ,6,64,6.67,16,5000,"₹14,999"
OPPO A9 2020 ,Vanilla Mint,128,4.4,4,128, , ,5000,"₹13,990"
Lava A3, , ,4.2,4,3,1.77, ,1750,"₹1,099"
Apple iPhone SE ,Red,128,4.5,128, , , ,,"₹47,800"
Snexian Rock, , ,3.9,32,32, , ,1000,"₹1,270"
Samsung Galaxy J2 Core ,Black,16,4.2,1,16,5,5,,"₹6,299"
Itel IT 2163, , ,4,32,32,1.8, , ,₹949
Samsung Galaxy J2 Core ,Gold,16,4.2,1,16,5,5,,"₹6,999"
Kechaoda K10, , ,4,32,32, , ,300,₹985
Lava A7, , ,4.2,32,24,2.4, ,1750,"₹1,599"
